Date,Time_24hr,Lat,Lon,Alt,Rel_Alt
10/19/2016,14:02:54,33.4677311,-88.7625781,81.960,.-20,
10/19/2016,14:02:55,33.4677312,-88.7625783,81.950,.0,
10/19/2016,14:02:55,33.4677312,-88.7625785,81.950,.0,
10/19/2016,14:02:56,33.4677312,-88.7625786,81.930,.10,
10/19/2016,14:02:57,33.4677314,-88.7625787,81.880,.-30,
10/19/2016,14:02:57,33.4677316,-88.7625789,81.900,.30,
10/19/2016,14:02:58,33.4677317,-88.7625790,81.860,.20,
10/19/2016,14:02:58,33.4677319,-88.7625790,81.840,.20,
10/19/2016,14:02:59,33.4677321,-88.7625790,81.870,.40,
10/19/2016,14:03:00,33.4677322,-88.7625790,81.860,.30,
10/19/2016,14:03:00,33.4677323,-88.7625791,81.860,.30,
10/19/2016,14:03:00,33.4677324,-88.7625793,81.820,.10,
10/19/2016,14:03:01,33.4677324,-88.7625794,81.840,.20,
10/19/2016,14:03:02,33.4677324,-88.7625796,81.790,.0,
10/19/2016,14:03:02,33.4677323,-88.7625798,81.770,.-10,
10/19/2016,14:03:03,33.4677322,-88.7625799,81.770,.10,
10/19/2016,14:03:03,33.4677321,-88.7625799,81.750,.0,
10/19/2016,14:03:04,33.4677320,-88.7625800,81.730,.20,
10/19/2016,14:03:05,33.4677320,-88.7625800,81.740,.49,
10/19/2016,14:03:06,33.4677320,-88.7625801,81.710,.30,
10/19/2016,14:03:06,33.4677321,-88.7625801,81.680,.20,
10/19/2016,14:03:06,33.4677322,-88.7625801,81.660,.20,
10/19/2016,14:03:07,33.4677322,-88.7625801,81.630,.20,
10/19/2016,14:03:08,33.4677323,-88.7625801,81.600,.20,
10/19/2016,14:03:08,33.4677324,-88.7625801,81.570,.0,
10/19/2016,14:03:09,33.4677326,-88.7625801,81.570,.30,
10/19/2016,14:03:10,33.4677326,-88.7625802,81.550,.30,
10/19/2016,14:03:10,33.4677327,-88.7625803,81.530,.30,
10/19/2016,14:03:11,33.4677326,-88.7625803,81.570,.60,
10/19/2016,14:03:11,33.4677326,-88.7625803,81.570,.49,
10/19/2016,14:03:12,33.4677325,-88.7625803,81.540,.40,
10/19/2016,14:03:13,33.4677323,-88.7625804,81.530,.40,
10/19/2016,14:03:13,33.4677323,-88.7625805,81.540,.30,
10/19/2016,14:03:13,33.4677323,-88.7625805,81.520,.-10,
10/19/2016,14:03:14,33.4677325,-88.7625805,81.530,.-10,
10/19/2016,14:03:15,33.4677327,-88.7625806,81.480,.-20,
10/19/2016,14:03:15,33.4677329,-88.7625806,81.490,.-10,
10/19/2016,14:03:16,33.4677330,-88.7625807,81.490,.-20,
10/19/2016,14:03:16,33.4677331,-88.7625808,81.530,.10,
10/19/2016,14:03:17,33.4677332,-88.7625809,81.530,.0,
10/19/2016,14:03:17,33.4677332,-88.7625810,81.530,.20,
10/19/2016,14:03:18,33.4677332,-88.7625810,81.530,.30,
10/19/2016,14:03:19,33.4677331,-88.7625811,81.510,.30,
10/19/2016,14:03:19,33.4677330,-88.7625812,81.480,.10,
10/19/2016,14:03:20,33.4677330,-88.7625813,81.440,.0,
10/19/2016,14:03:20,33.4677330,-88.7625813,81.440,.10,
10/19/2016,14:03:21,33.4677330,-88.7625814,81.400,.0,
10/19/2016,14:03:22,33.4677329,-88.7625814,81.380,.10,
10/19/2016,14:03:22,33.4677328,-88.7625814,81.380,.20,
10/19/2016,14:03:23,33.4677327,-88.7625815,81.360,.70,
10/19/2016,14:03:23,33.4677326,-88.7625816,81.270,.30,
10/19/2016,14:03:24,33.4677323,-88.7625818,81.200,.10,
10/19/2016,14:03:24,33.4677319,-88.7625820,81.150,.-10,
10/19/2016,14:03:25,33.4677316,-88.7625822,81.180,.30,
10/19/2016,14:03:25,33.4677314,-88.7625825,81.130,.20,
10/19/2016,14:03:26,33.4677312,-88.7625828,81.110,.60,
10/19/2016,14:03:27,33.4677310,-88.7625831,81.040,.20,
10/19/2016,14:03:27,33.4677310,-88.7625833,81.000,.60,
10/19/2016,14:03:28,33.4677308,-88.7625836,80.940,.70,
10/19/2016,14:03:29,33.4677307,-88.7625837,80.820,.20,
10/19/2016,14:03:29,33.4677306,-88.7625838,80.780,.30,
10/19/2016,14:03:30,33.4677306,-88.7625841,80.760,.30,
10/19/2016,14:03:30,33.4677307,-88.7625844,80.730,.20,
10/19/2016,14:03:31,33.4677306,-88.7625846,80.690,.10,
10/19/2016,14:03:32,33.4677306,-88.7625848,80.680,.10,
10/19/2016,14:03:32,33.4677307,-88.7625850,80.680,.30,
10/19/2016,14:03:33,33.4677306,-88.7625852,80.670,.70,
10/19/2016,14:03:33,33.4677305,-88.7625853,80.600,.30,
10/19/2016,14:03:34,33.4677304,-88.7625854,80.600,.60,
10/19/2016,14:03:34,33.4677303,-88.7625855,80.590,.60,
10/19/2016,14:03:35,33.4677304,-88.7625856,80.560,.40,
10/19/2016,14:03:35,33.4677303,-88.7625856,80.540,.30,
10/19/2016,14:03:36,33.4677303,-88.7625856,80.550,.20,
10/19/2016,14:03:36,33.4677302,-88.7625858,80.590,.40,
10/19/2016,14:03:37,33.4677302,-88.7625859,80.560,.40,
10/19/2016,14:03:38,33.4677303,-88.7625860,80.550,.40,
10/19/2016,14:03:38,33.4677304,-88.7625861,80.530,.30,
10/19/2016,14:03:39,33.4677304,-88.7625861,80.500,.20,
10/19/2016,14:03:39,33.4677303,-88.7625862,80.460,.10,
10/19/2016,14:03:40,33.4677304,-88.7625861,80.410,.0,
10/19/2016,14:03:40,33.4677303,-88.7625860,80.410,.30,
10/19/2016,14:03:41,33.4677305,-88.7625861,80.340,.10,
10/19/2016,14:03:41,33.4677306,-88.7625862,80.300,.20,
10/19/2016,14:03:42,33.4677308,-88.7625865,80.270,.30,
10/19/2016,14:03:43,33.4677310,-88.7625867,80.260,.20,
10/19/2016,14:03:43,33.4677310,-88.7625870,80.230,.30,
10/19/2016,14:03:44,33.4677312,-88.7625871,80.190,.40,
10/19/2016,14:03:44,33.4677312,-88.7625873,80.170,.49,
10/19/2016,14:03:45,33.4677314,-88.7625874,80.120,.40,
10/19/2016,14:03:46,33.4677314,-88.7625875,80.080,.30,
10/19/2016,14:03:46,33.4677315,-88.7625875,80.050,.30,
10/19/2016,14:03:47,33.4677316,-88.7625874,80.040,.0,
10/19/2016,14:03:47,33.4677317,-88.7625871,80.030,.0,
10/19/2016,14:03:48,33.4677316,-88.7625868,80.030,.20,
10/19/2016,14:03:48,33.4677318,-88.7625866,79.960,.0,
10/19/2016,14:03:49,33.4677320,-88.7625864,79.980,.30,
10/19/2016,14:03:49,33.4677320,-88.7625863,79.980,.30,
10/19/2016,14:03:50,33.4677320,-88.7625862,79.990,.49,
10/19/2016,14:03:50,33.4677321,-88.7625862,79.980,.49,
10/19/2016,14:03:51,33.4677321,-88.7625861,79.940,.10,
10/19/2016,14:03:51,33.4677321,-88.7625861,79.970,.10,
